customer_id,age,gender,product,category,price,quantity,rating,purchase_date,total_amount
CUST6560,47.0,Male,Textbook,Books,42.04,1,3.0,2023-01-01,42.04
CUST5289,55.0,Female,Yoga Mat,Sports,386.19,5,5.0,2023-01-01,1930.95
CUST1846,51.0,Female,Chocolate,Food,5.65,5,2.0,2023-01-01,28.25
CUST7316,29.0,Female,Football,Sports,84.55,6,2.0,2023-01-01,507.29999999999995
CUST7469,36.0,Other,Dumbbells,Sports,51.62,3,5.0,2023-01-01,154.85999999999999
CUST9915,54.0,Other,Jacket,Clothing,27.33,5,3.0,2023-01-01,136.64999999999998
CUST1224,61.0,Male,Juice,Food,43.5,7,5.0,2023-01-01,304.5
CUST5208,34.0,Male,Tea,Food,36.66,5,4.0,2023-01-01,183.29999999999998
CUST7283,27.0,Other,Biscuits,Food,26.34,5,5.0,2023-01-01,131.7
CUST3048,64.0,Other,Dumbbells,Sports,75.98,5,5.0,2023-01-01,379.90000000000003
CUST7233,29.0,Other,Comic,Books,54.25,10,1.0,2023-01-01,542.5
CUST2828,33.0,Female,Biscuits,Food,26.31,10,2.0,2023-01-01,263.09999999999997
CUST2917,41.0,Female,Yoga Mat,Sports,111.4,3,5.0,2023-01-02,334.20000000000005
CUST5234,36.0,Other,Jeans,Clothing,98.09,1,5.0,2023-01-02,98.09
CUST7988,25.0,Female,Comic,Books,45.87,5,3.0,2023-01-02,229.35
CUST3026,48.0,Female,Jacket,Clothing,130.85,9,2.0,2023-01-02,1177.6499999999999
CUST4744,38.0,Male,Magazine,Books,67.16,1,3.0,2023-01-02,67.16
CUST1009,34.0,Other,Dumbbells,Sports,51.29,3,2.0,2023-01-02,153.87
CUST1260,40.0,Other,Laptop,Electronics,874.3,4,3.0,2023-01-02,3497.2
CUST7038,54.0,Female,Novel,Books,66.33,1,5.0,2023-01-02,66.33
CUST3219,33.0,Other,Jeans,Clothing,110.56,1,5.0,2023-01-02,110.56
CUST8041,23.0,Male,Football,Sports,432.55,8,1.0,2023-01-02,3460.4
CUST3060,25.0,Male,Comic,Books,69.28,2,3.0,2023-01-02,138.56
CUST6287,42.0,Male,Headphones,Electronics,493.28,8,4.0,2023-01-02,3946.24
CUST2619,35.0,Other,Laptop,Electronics,327.02,7,1.0,2023-01-03,2289.14
CUST9512,42.0,Other,Chocolate,Food,33.91,10,3.0,2023-01-03,339.09999999999997
CUST2342,29.0,Other,Coffee,Food,6.19,10,3.0,2023-01-03,61.900000000000006
CUST3832,32.0,Other,Jeans,Clothing,125.44,2,1.0,2023-01-03,250.88
